subjid,session,block,trialno,texpr,validity,pexpr,stimf,sex,id,trgl,onset,dur,real_dur,corr_resp,subj_resp,accuracy,rt
mm_,1,2_em_fac,17,fre,valid,fre,fre/fre_w_14.mp4,w,w_14,,81.092,5.400,5.308,,,,
mm_,1,2_em_fac,8,ekl,valid,ekl,ekl/ekl_w_61.mp4,w,w_61,,86.491,5.400,5.310,,,,
mm_,1,2_em_fac,10,ekl,invalid,fre,fre/fre_w_18.mp4,w,w_18,,91.890,5.400,5.311,,,,
mm_,1,2_em_fac,18,fre,valid,fre,fre/fre_w_61.mp4,w,w_61,,97.282,5.400,5.318,,,,
mm_,1,2_em_fac,4,ekl,valid,ekl,ekl/ekl_m_38.mp4,m,m_38,,102.686,5.400,5.314,,,,
mm_,1,3_scr_fac,5,ekl,valid,ekl,ekl_scr_down/ekl_w_32.mp4,w,w_32,down,0.093,5.400,5.308,,,,
mm_,1,3_scr_fac,10,ekl,invalid,fre,fre_scr_up/fre_w_27.mp4,w,w_27,up,5.483,5.400,5.317,,,,
mm_,1,3_scr_fac,7,ekl,valid,ekl,ekl_scr_down/ekl_w_56.mp4,w,w_56,down,10.898,5.400,5.302,,,,
mm_,1,3_scr_fac,15,fre,valid,fre,fre_scr_up/fre_w_32.mp4,w,w_32,up,16.284,5.400,5.316,,,,
mm_,1,3_scr_fac,17,fre,valid,fre,fre_scr_up/fre_w_56.mp4,w,w_56,up,21.682,5.400,5.318,,,,
mm_,1,3_scr_fac,2,ekl,valid,ekl,ekl_scr_down/ekl_m_05.mp4,m,m_05,down,27.084,5.400,5.316,,,,
mm_,1,3_scr_fac,20,fre,invalid,ekl,ekl_scr_down/ekl_w_27.mp4,w,w_27,down,32.484,5.400,5.316,,,,
mm_,1,3_scr_fac,18,fre,valid,fre,fre_scr_up/fre_w_16.mp4,w,w_16,up,37.881,5.400,5.319,,,,
mm_,1,3_scr_fac,8,ekl,valid,ekl,ekl_scr_down/ekl_w_16.mp4,w,w_16,down,43.288,5.400,5.312,,,,
mm_,1,3_scr_fac,6,ekl,valid,ekl,ekl_scr_down/ekl_w_26.mp4,w,w_26,down,48.687,5.400,5.314,,,,
mm_,1,3_scr_fac,13,fre,valid,fre,fre_scr_up/fre_m_46.mp4,m,m_46,up,54.090,5.400,5.310,,,,
mm_,1,3_scr_fac,19,fre,invalid,ekl,ekl_scr_down/ekl_m_05.mp4,m,m_05,down,59.481,5.400,5.319,,,,
mm_,1,3_scr_fac,9,ekl,invalid,fre,fre_scr_up/fre_m_05.mp4,m,m_05,up,64.890,5.400,5.310,,,,
mm_,1,3_scr_fac,16,fre,valid,fre,fre_scr_up/fre_w_26.mp4,w,w_26,up,70.297,5.400,5.303,,,,
mm_,1,3_scr_fac,14,fre,valid,fre,fre_scr_up/fre_m_49.mp4,m,m_49,up,75.690,5.400,5.310,,,,
mm_,1,3_scr_fac,4,ekl,valid,ekl,ekl_scr_down/ekl_m_49.mp4,m,m_49,down,81.094,5.400,5.306,,,,
mm_,1,3_scr_fac,1,ekl,valid,ekl,ekl_scr_down/ekl_m_03.mp4,m,m_03,down,86.485,5.400,5.315,,,,
mm_,1,3_scr_fac,11,fre,valid,fre,fre_scr_up/fre_m_03.mp4,m,m_03,up,91.890,5.400,5.310,,,,
mm_,1,3_scr_fac,12,fre,valid,fre,fre_scr_up/fre_m_05.mp4,m,m_05,up,97.286,5.400,5.314,,,,
mm_,1,3_scr_fac,3,ekl,valid,ekl,ekl_scr_down/ekl_m_46.mp4,m,m_46,down,102.682,5.400,5.318,,,,
