subjid,session,trialno,texpr,validity,pexpr,stimf,sex,id,onset,dur,corr_resp,subj_resp,accuracy,rt
mm_,1,150,ekl,valid,ekl,ekl99m25.avi,9,9m,52.056,0.800,1,,miss,
mm_,1,113,ekl,valid,ekl,ekl99m05.avi,9,9m,52.862,0.800,1,,miss,
mm_,1,144,fre,valid,fre,fre99m03.avi,9,9m,53.652,0.800,1,,miss,
mm_,1,46,ekl,invalid,fre,fre99m24.avi,9,9m,54.493,0.800,1,,miss,
mm_,1,158,ekl,valid,ekl,ekl99w61.avi,9,9w,55.269,0.800,1,,miss,
mm_,1,37,ekl,valid,ekl,ekl99m46.avi,9,9m,56.069,0.800,1,,miss,
mm_,1,126,ekl,valid,ekl,ekl99w19.avi,9,9w,56.868,0.800,1,,miss,
mm_,1,64,fre,invalid,ekl,ekl99m21.avi,9,9m,57.664,0.800,1,,miss,
mm_,1,100,fre,valid,fre,fre99w16.avi,9,9w,58.580,0.800,1,,miss,
mm_,1,38,fre,valid,fre,fre99m09.avi,9,9m,59.266,0.800,1,,miss,
mm_,1,10,fre,valid,fre,fre99w58.avi,9,9w,60.077,0.800,1,,miss,
mm_,1,90,ekl,valid,ekl,ekl99w04.avi,9,9w,60.869,0.800,1,,miss,
mm_,1,21,ekl,valid,ekl,ekl99m25.avi,9,9m,61.666,0.800,1,,miss,
mm_,1,74,fre,valid,fre,fre99w26.avi,9,9w,62.471,0.800,1,,miss,
mm_,1,35,ekl,invalid,fre,fre99m05.avi,9,9m,63.368,0.800,1,,miss,
mm_,1,154,fre,valid,fre,fre99w08.avi,9,9w,64.054,0.800,1,,miss,
mm_,1,69,fre,invalid,ekl,ekl99m36.avi,9,9m,64.992,0.800,1,,miss,
mm_,1,56,ekl,valid,ekl,ekl99w16.avi,9,9w,65.668,0.800,1,,miss,
mm_,1,139,ekl,valid,ekl,ekl99w37.avi,9,9w,66.462,0.800,1,,miss,
mm_,1,57,ekl,invalid,fre,fre99m71.avi,9,9m,67.270,0.800,1,,miss,
mm_,1,147,fre,valid,fre,fre99m15.avi,9,9m,68.052,0.800,1,,miss,
mm_,1,140,ekl,valid,ekl,ekl99m10.avi,9,9m,68.874,0.800,1,,miss,
mm_,1,2,fre,invalid,ekl,ekl99m20.avi,9,9m,69.673,0.800,1,,miss,
mm_,1,123,fre,valid,fre,fre99m33.avi,9,9m,70.597,0.800,1,,miss,
mm_,1,97,ekl,invalid,fre,fre99m03.avi,9,9m,71.390,0.800,1,,miss,
mm_,1,61,ekl,valid,ekl,ekl99m23.avi,9,9m,72.064,0.800,1,,miss,
mm_,1,26,fre,valid,fre,fre99m36.avi,9,9m,72.853,0.800,1,,miss,
mm_,1,105,ekl,valid,ekl,ekl99w02.avi,9,9w,73.662,0.800,1,,miss,
mm_,1,70,ekl,valid,ekl,ekl99w26.avi,9,9w,74.471,0.800,1,,miss,
mm_,1,7,fre,valid,fre,fre99w14.avi,9,9w,75.264,0.800,1,,miss,
mm_,1,28,ekl,valid,ekl,ekl99w16.avi,9,9w,76.053,0.800,1,,miss,
